Espagne | Data center / télécom / Software | Cellnex Telecom | https://www.cellnex.com | EUR 3.94 Md | FY2024 | https://www.cellnex.com/app/uploads/2025/02/20250226-PR-Cellnex-FY2024-Results.pdf | Large cap / groupe >1 Md | Leader européen des tours télécom, CA +6% 2024 (Cellnex FY2024)
États-Unis | Data center / télécom / Software | Equinix | https://www.equinix.com | USD 8.75 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/0001101239/000162828024044328/eqix-093024xpruploadhyperl.htm | Large cap / groupe >1 Md | Leader mondial colocation, CA +7% 2024 (2 sources)
États-Unis | Data center / télécom / Software | Digital Realty Trust | https://www.digitalrealty.com | USD 5.55 Md | FY2024 | https://investor.digitalrealty.com/news-and-events/news/ | Large cap / groupe >1 Md | REIT data center en croissance, forte demande IA/cloud
États-Unis | Data center / télécom / Software | SBA Communications | https://www.sbasite.com | USD 3.3 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/0001034054/000119312524187567/d859348dex991.htm | Large cap / groupe >1 Md | Opérateur de tours rentable, modèle REIT stable
États-Unis | Data center / télécom / Software | AT&T | https://www.att.com | USD 122.3 Md | FY2024 | https://about.att.com/story/2025/4q-earnings-2024.html | Large cap / groupe >1 Md | CA stable 122,3 Md$, croissance Mobility et fibre
États-Unis | Data center / télécom / Software | Verizon Communications | https://www.verizon.com | USD 134.8 Md | FY2024 | https://www.verizon.com/about/sites/default/files/4Q24-Earnings-Press-Release.pdf | Large cap / groupe >1 Md | CA +0,6% 134,8 Md$, profitabilité solide
États-Unis | Data center / télécom / Software | T-Mobile US | https://www.t-mobile.com | USD 81.4 Md | FY2024 | https://investor.t-mobile.com/financial-performance/quarterly-earnings/ | Large cap / groupe >1 Md | CA >81 Md$, forte croissance abonnés
États-Unis | Data center / télécom / Software | Comcast | https://corporate.comcast.com | USD 123.7 Md | FY2024 | https://www.cmcsa.com/news-releases | Large cap / groupe >1 Md | CA +1,8% 123,7 Md$
États-Unis | Data center / télécom / Software | Charter Communications | https://corporate.charter.com | USD 55.1 Md | FY2024 | https://corporate.charter.com/newsroom/charter-announces-fourth-quarter-and-full-year-2024-results | Large cap / groupe >1 Md | CA +0,9% 55,1 Md$, EBITDA ajusté +3,1%
Pays-Bas | Data center / télécom / Software | Koninklijke KPN | https://www.kpn.com | EUR 5.60 Md | FY2024 | https://s202.q4cdn.com/886546970/files/doc_financials/2024/q4/KPN-Q4-2024-Press-Release.pdf | Large cap / groupe >1 Md | Opérateur rentable, CA en légère croissance, dividende relevé
Italie | Data center / télécom / Software | TIM (Telecom Italia) | https://www.gruppotim.it | EUR 10.7 Md | FY2024 | https://www.gruppotim.it/en/press-archive/corporate/2024/PR-BOD-4Q-13-11-2024.html | Large cap / groupe >1 Md | CA ~10,7 Md€, marge opérationnelle en hausse après cession réseau
